UUID,session,bill_number
AZ2001H2074,2001 - Forty-fifth Legislature - First Regular Session,HB2074
AZ2001H2078,2001 - Forty-fifth Legislature - First Regular Session,HB2078
AZ2001H2096,2001 - Forty-fifth Legislature - First Regular Session,HB2096
AZ2001H2257,2001 - Forty-fifth Legislature - First Regular Session,HB2257
AZ2001H2258,2001 - Forty-fifth Legislature - First Regular Session,HB2258
AZ2001H2451,2001 - Forty-fifth Legislature - First Regular Session,HB2451
AZ2001H2597,2001 - Forty-fifth Legislature - First Regular Session,HB2597
AZ2001H2631,2001 - Forty-fifth Legislature - First Regular Session,HB2631
AZ2001HCR2011,2001 - Forty-fifth Legislature - First Regular Session,HCR2011
AZ2001S1019,2001 - Forty-fifth Legislature - First Regular Session,SB1019
AZ2001S1154,2001 - Forty-fifth Legislature - First Regular Session,SB1154
AZ2001S1309,2001 - Forty-fifth Legislature - First Regular Session,SB1309
AZ2001S1378,2001 - Forty-fifth Legislature - First Regular Session,SB1378
AZ2001S1379,2001 - Forty-fifth Legislature - First Regular Session,SB1379
AZ2001S1428,2001 - Forty-fifth Legislature - First Regular Session,SB1428
AZ2001S1529,2001 - Forty-fifth Legislature - First Regular Session,SB1529
AZ2002H2332,2002 - Forty-fifth Legislature - Second Regular Session,HB2332
AZ2002H2342,2002 - Forty-fifth Legislature - Second Regular Session,HB2342
AZ2002H2353,2002 - Forty-fifth Legislature - Second Regular Session,HB2353
AZ2002H2367,2002 - Forty-fifth Legislature - Second Regular Session,HB2367
AZ2002H2600,2002 - Forty-fifth Legislature - Second Regular Session,HB2600
AZ2002H2621,2002 - Forty-fifth Legislature - Second Regular Session,HB2621
AZ2002H2627,2002 - Forty-fifth Legislature - Second Regular Session,HB2627
AZ2002H2696,2002 - Forty-fifth Legislature - Second Regular Session,HB2696
AZ2002HCR2005,2002 - Forty-fifth Legislature - Second Regular Session,HCR2005
AZ2002S1030,2002 - Forty-fifth Legislature - Second Regular Session,SB1030
AZ2002S1031,2002 - Forty-fifth Legislature - Second Regular Session,SB1031
AZ2002S1234,2002 - Forty-fifth Legislature - Second Regular Session,SB1234
AZ2002S1251,2002 - Forty-fifth Legislature - Second Regular Session,SB1251
AZ2002S1269,2002 - Forty-fifth Legislature - Second Regular Session,SB1269
AZ2002S1285,2002 - Forty-fifth Legislature - Second Regular Session,SB1285
AZ2002S1312,2002 - Forty-fifth Legislature - Second Regular Session,SB1312
AZ2002S1384,2002 - Forty-fifth Legislature - Second Regular Session,SB1384
AZ2002S1407,2002 - Forty-fifth Legislature - Second Regular Session,SB1407
AZ2002S1422,2002 - Forty-fifth Legislature - Second Regular Session,SB1422
AZ2003H2064,2003 - Forty-sixth Legislature - First Regular Session,HB2064
AZ2003H2246,2003 - Forty-sixth Legislature - First Regular Session,HB2246
AZ2003H2345,2003 - Forty-sixth Legislature - First Regular Session,HB2345
AZ2003H2378,2003 - Forty-sixth Legislature - First Regular Session,HB2378
AZ2003H2511,2003 - Forty-sixth Legislature - First Regular Session,HB2511
AZ2003H2512,2003 - Forty-sixth Legislature - First Regular Session,HB2512
AZ2003S1012,2003 - Forty-sixth Legislature - First Regular Session,SB1012
AZ2003S1020,2003 - Forty-sixth Legislature - First Regular Session,SB1020
AZ2003S1021,2003 - Forty-sixth Legislature - First Regular Session,SB1021
AZ2003S1023,2003 - Forty-sixth Legislature - First Regular Session,SB1023
AZ2003S1046,2003 - Forty-sixth Legislature - First Regular Session,SB1046
AZ2003S1075,2003 - Forty-sixth Legislature - First Regular Session,SB1075
AZ2003S1145,2003 - Forty-sixth Legislature - First Regular Session,SB1145
AZ2003S1153,2003 - Forty-sixth Legislature - First Regular Session,SB1153
AZ2003S1350,2003 - Forty-sixth Legislature - First Regular Session,SB1350
AZ2004H2110,2004 - Forty-sixth Legislature - Second Regular Session,HB2110
AZ2004H2303,2004 - Forty-sixth Legislature - Second Regular Session,HB2303
AZ2004H2394,2004 - Forty-sixth Legislature - Second Regular Session,HB2394
AZ2004H2407,2004 - Forty-sixth Legislature - Second Regular Session,HB2407
AZ2004H2408,2004 - Forty-sixth Legislature - Second Regular Session,HB2408
AZ2004H2409,2004 - Forty-sixth Legislature - Second Regular Session,HB2409
AZ2004H2410,2004 - Forty-sixth Legislature - Second Regular Session,HB2410
AZ2004H2414,2004 - Forty-sixth Legislature - Second Regular Session,HB2414
AZ2004H2416,2004 - Forty-sixth Legislature - Second Regular Session,HB2416
AZ2004H2430,2004 - Forty-sixth Legislature - Second Regular Session,HB2430
AZ2004H2576,2004 - Forty-sixth Legislature - Second Regular Session,HB2576
AZ2004H2577,2004 - Forty-sixth Legislature - Second Regular Session,HB2577
AZ2004H2611,2004 - Forty-sixth Legislature - Second Regular Session,HB2611
AZ2004H2636,2004 - Forty-sixth Legislature - Second Regular Session,HB2636
AZ2004H2645,2004 - Forty-sixth Legislature - Second Regular Session,HB2645
AZ2004H2656,2004 - Forty-sixth Legislature - Second Regular Session,HB2656
AZ2004H2660,2004 - Forty-sixth Legislature - Second Regular Session,HB2660
AZ2004HCM2007,2004 - Forty-sixth Legislature - Second Regular Session,HCM2007
AZ2004HCR2015,2004 - Forty-sixth Legislature - Second Regular Session,HCR2015
AZ2004S1078,2004 - Forty-sixth Legislature - Second Regular Session,SB1078
AZ2004S1151,2004 - Forty-sixth Legislature - Second Regular Session,SB1151
AZ2004S1200,2004 - Forty-sixth Legislature - Second Regular Session,SB1200
AZ2004S1244,2004 - Forty-sixth Legislature - Second Regular Session,SB1244
AZ2004S1250,2004 - Forty-sixth Legislature - Second Regular Session,SB1250
AZ2004S1287,2004 - Forty-sixth Legislature - Second Regular Session,SB1287
AZ2004S1375,2004 - Forty-sixth Legislature - Second Regular Session,SB1375
AZ2004S1393,2004 - Forty-sixth Legislature - Second Regular Session,SB1393
AZ2005H2288,2005 - Forty-seventh Legislature - First Regular Session,HB2288
AZ2005H2332,2005 - Forty-seventh Legislature - First Regular Session,HB2332
AZ2005H2334,2005 - Forty-seventh Legislature - First Regular Session,HB2334
AZ2005H2335,2005 - Forty-seventh Legislature - First Regular Session,HB2335
AZ2005H2336,2005 - Forty-seventh Legislature - First Regular Session,HB2336
AZ2005H2345,2005 - Forty-seventh Legislature - First Regular Session,HB2345
AZ2005H2346,2005 - Forty-seventh Legislature - First Regular Session,HB2346
AZ2005H2348,2005 - Forty-seventh Legislature - First Regular Session,HB2348
AZ2005H2399,2005 - Forty-seventh Legislature - First Regular Session,HB2399
AZ2005H2491,2005 - Forty-seventh Legislature - First Regular Session,HB2491
AZ2005H2493,2005 - Forty-seventh Legislature - First Regular Session,HB2493
AZ2005H2495,2005 - Forty-seventh Legislature - First Regular Session,HB2495
AZ2005H2658,2005 - Forty-seventh Legislature - First Regular Session,HB2658
AZ2005H2675,2005 - Forty-seventh Legislature - First Regular Session,HB2675
