uuid,text_url,text_version,pdf_path
GA2001H1055,http://www.legis.ga.gov/Legislation/20012002/10224.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H1055/GA2001H1055_2.pdf
GA2001H111,http://www.legis.ga.gov/Legislation/20012002/373.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H111/GA2001H111_2.pdf
GA2001H112,http://www.legis.ga.gov/Legislation/20012002/2035.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H112/GA2001H112_5.pdf
GA2001H113,http://www.legis.ga.gov/Legislation/20012002/374.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H113/GA2001H113_2.pdf
GA2001H1390,http://www.legis.ga.gov/Legislation/20012002/12783.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H1390/GA2001H1390_2.pdf
GA2001H1392,http://www.legis.ga.gov/Legislation/20012002/12797.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H1392/GA2001H1392_2.pdf
GA2001H1546,http://www.legis.ga.gov/Legislation/20012002/14041.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H1546/GA2001H1546_2.pdf
GA2001H177,http://www.legis.ga.gov/Legislation/20012002/667.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H177/GA2001H177_2.pdf
GA2001H1798,http://www.legis.ga.gov/Legislation/20012002/17887.pdf,6,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H1798/GA2001H1798_6.pdf
GA2001H182,http://www.legis.ga.gov/Legislation/20012002/697.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H182/GA2001H182_2.pdf
GA2001H234,http://www.legis.ga.gov/Legislation/20012002/1100.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H234/GA2001H234_2.pdf
GA2001H305,http://www.legis.ga.gov/Legislation/20012002/1525.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H305/GA2001H305_2.pdf
GA2001H326,http://www.legis.ga.gov/Legislation/20012002/1663.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001H326/GA2001H326_2.pdf
