UUID,session,bill_number
IL2001H1764,92,HB1764
IL2001H1770,92,HB1770
IL2001H1771,92,HB1771
IL2001H1772,92,HB1772
IL2001H1792,92,HB1792
IL2001H1793,92,HB1793
IL2001H1794,92,HB1794
IL2001H1797,92,HB1797
IL2001H1799,92,HB1799
IL2001H1800,92,HB1800
IL2001H1806,92,HB1806
IL2001H1932,92,HB1932
IL2001H1981,92,HB1981
IL2001H1982,92,HB1982
IL2001H2139,92,HB2139
IL2001H2149,92,HB2149
IL2001H2153,92,HB2153
IL2001H2162,92,HB2162
IL2001H2316,92,HB2316
IL2001H2433,92,HB2433
IL2001H3026,92,HB3026
IL2001H3028,92,HB3028
IL2001H3029,92,HB3029
IL2001H3124,92,HB3124
IL2001H3134,92,HB3134
IL2001H3145,92,HB3145
IL2001H3147,92,HB3147
IL2001H3148,92,HB3148
IL2001H3149,92,HB3149
IL2001H3315,92,HB3315
IL2001H3368,92,HB3368
IL2001H3384,92,HB3384
IL2001H3385,92,HB3385
IL2001H397,92,HB397
IL2001H507,92,HB507
IL2001H587,92,HB587
IL2001H590,92,HB590
IL2001H612,92,HB612
IL2001H614,92,HB614
IL2001H707,92,HB707
IL2001H71,92,HB71
IL2001S228,92,SB228
IL2001S293,92,SB293
IL2001S33,92,SB33
IL2001S360,92,SB360
IL2001S416,92,SB416
IL2001S553,92,SB553
IL2001S6,92,SB6
IL2001S663,92,SB663
IL2001S801,92,SB801
IL2001S814,92,SB814
IL2001S946,92,SB946
IL2002H1764,92,HB1764
IL2002H1770,92,HB1770
IL2002H1771,92,HB1771
IL2002H1772,92,HB1772
IL2002H1792,92,HB1792
IL2002H1793,92,HB1793
IL2002H1794,92,HB1794
IL2002H1797,92,HB1797
IL2002H1799,92,HB1799
IL2002H1800,92,HB1800
IL2002H1806,92,HB1806
IL2002H1932,92,HB1932
IL2002H1981,92,HB1981
IL2002H1982,92,HB1982
IL2002H2139,92,HB2139
IL2002H2149,92,HB2149
IL2002H2153,92,HB2153
IL2002H2162,92,HB2162
IL2002H2316,92,HB2316
IL2002H2433,92,HB2433
IL2002H3026,92,HB3026
IL2002H3028,92,HB3028
IL2002H3029,92,HB3029
IL2002H3124,92,HB3124
IL2002H3134,92,HB3134
IL2002H3147,92,HB3147
IL2002H3148,92,HB3148
IL2002H3149,92,HB3149
IL2002H3315,92,HB3315
IL2002H3368,92,HB3368
IL2002H3385,92,HB3385
IL2002H3795,92,HB3795
IL2002H397,92,HB397
IL2002H4130,92,HB4130
IL2002H4957,92,HB4957
IL2002H507,92,HB507
IL2002H5601,92,HB5601
IL2002H5646,92,HB5646
IL2002H5647,92,HB5647
IL2002H587,92,HB587
IL2002H590,92,HB590
IL2002H612,92,HB612
IL2002H614,92,HB614
IL2002H707,92,HB707
IL2002H71,92,HB71
IL2002S1643,92,SB1643
IL2002S1829,92,SB1829
IL2002S1972,92,SB1972
IL2002S2041,92,SB2041
IL2002S2105,92,SB2105
IL2002S2106,92,SB2106
IL2002S2237,92,SB2237
IL2002S228,92,SB228
IL2002S293,92,SB293
IL2002S33,92,SB33
IL2002S416,92,SB416
IL2002S553,92,SB553
IL2002S6,92,SB6
IL2002S663,92,SB663
IL2002S801,92,SB801
IL2002S814,92,SB814
IL2003H1,93,HB1
IL2003H112,93,HB112
IL2003H113,93,HB113
IL2003H114,93,HB114
IL2003H1149,93,HB1149
IL2003H1166,93,HB1166
IL2003H128,93,HB128
IL2003H1442,93,HB1442
IL2003H1631,93,HB1631
IL2003H2281,93,HB2281
IL2003H2507,93,HB2507
IL2003H2508,93,HB2508
IL2003H2538,93,HB2538
IL2003H2539,93,HB2539
IL2003H28,93,HB28
IL2003H2851,93,HB2851
IL2003H2875,93,HB2875
IL2003H29,93,HB29
IL2003H30,93,HB30
IL2003H3113,93,HB3113
IL2003H3166,93,HB3166
IL2003H3427,93,HB3427
IL2003H3812,93,HB3812
IL2003H3902,93,HB3902
IL2003H395,93,HB395
IL2003H98,93,HB98
IL2003S1803,93,SB1803
IL2003S1870,93,SB1870
IL2003S2123,93,SB2123
IL2003S2133,93,SB2133
IL2003S428,93,SB428
IL2003S48,93,SB48
IL2003S519,93,SB519
IL2003S561,93,SB561
IL2003S82,93,SB82
IL2004H1,93,HB1
IL2004H112,93,HB112
IL2004H113,93,HB113
IL2004H114,93,HB114
IL2004H1149,93,HB1149
IL2004H1166,93,HB1166
IL2004H128,93,HB128
IL2004H1442,93,HB1442
IL2004H1631,93,HB1631
IL2004H2281,93,HB2281
IL2004H2507,93,HB2507
IL2004H2508,93,HB2508
IL2004H2538,93,HB2538
IL2004H2539,93,HB2539
IL2004H28,93,HB28
IL2004H2851,93,HB2851
IL2004H2875,93,HB2875
IL2004H29,93,HB29
IL2004H3113,93,HB3113
IL2004H3166,93,HB3166
IL2004H3427,93,HB3427
IL2004H3812,93,HB3812
IL2004H3902,93,HB3902
IL2004H395,93,HB395
IL2004H4065,93,HB4065
IL2004H4192,93,HB4192
IL2004H4199,93,HB4199
IL2004H4316,93,HB4316
IL2004H4527,93,HB4527
IL2004H4597,93,HB4597
IL2004H4761,93,HB4761
IL2004H4762,93,HB4762
IL2004H5052,93,HB5052
IL2004H5202,93,HB5202
IL2004H6746,93,HB6746
IL2004H7351,93,HB7351
IL2004H98,93,HB98
IL2004S1803,93,SB1803
IL2004S1870,93,SB1870
IL2004S2123,93,SB2123
IL2004S2133,93,SB2133
IL2004S2449,93,SB2449
IL2004S2649,93,SB2649
IL2004S2914,93,SB2914
IL2004S2915,93,SB2915
IL2004S2930,93,SB2930
IL2004S2932,93,SB2932
IL2004S2933,93,SB2933
IL2004S2936,93,SB2936
IL2004S3064,93,SB3064
IL2004S48,93,SB48
IL2004S519,93,SB519
IL2004S561,93,SB561
IL2004S82,93,SB82
IL2005H1015,94,HB1015
IL2005H111,94,HB111
IL2005H1125,94,HB1125
IL2005H1126,94,HB1126
IL2005H113,94,HB113
IL2005H1138,94,HB1138
IL2005H114,94,HB114
IL2005H1140,94,HB1140
IL2005H115,94,HB115
IL2005H12,94,HB12
IL2005H1337,94,HB1337
IL2005H134,94,HB134
IL2005H1454,94,HB1454
IL2005H1524,94,HB1524
IL2005H16,94,HB16
IL2005H186,94,HB186
IL2005H1968,94,HB1968
IL2005H203,94,HB203
IL2005H2416,94,HB2416
IL2005H2417,94,HB2417
IL2005H2474,94,HB2474
IL2005H2514,94,HB2514
IL2005H2532,94,HB2532
IL2005H34,94,HB34
IL2005H347,94,HB347
IL2005H3548,94,HB3548
IL2005H3635,94,HB3635
IL2005H3636,94,HB3636
IL2005H3639,94,HB3639
IL2005H397,94,HB397
IL2005H400,94,HB400
IL2005H4069,94,HB4069
IL2005H4076,94,HB4076
IL2005H443,94,HB443
IL2005H459,94,HB459
IL2005H537,94,HB537
IL2005H545,94,HB545
IL2005H616,94,HB616
IL2005H715,94,HB715
IL2005H758,94,HB758
IL2005H814,94,HB814
IL2005H883,94,HB883
IL2005S1445,94,SB1445
IL2005S1683,94,SB1683
IL2005S1696,94,SB1696
IL2005S1697,94,SB1697
IL2005S2015,94,SB2015
IL2005S204,94,SB204
IL2005S227,94,SB227
IL2005S453,94,SB453
IL2006H4130,94,HB4130
IL2006H4173,94,HB4173
IL2006H4224,94,HB4224
IL2006H4241,94,HB4241
IL2006H4250,94,HB4250
IL2006H4311,94,HB4311
IL2006H5007,94,HB5007
IL2006H5261,94,HB5261
IL2006H5773,94,HB5773
IL2006H5774,94,HB5774
IL2006H5775,94,HB5775
IL2006H5779,94,HB5779
IL2006S1445,94,SB1445
IL2006S204,94,SB204
IL2006S2340,94,SB2340
IL2006S2397,94,SB2397
IL2006S2547,94,SB2547
IL2006S2724,94,SB2724
IL2007H1025,95,HB1025
IL2007H1027,95,HB1027
IL2007H1038,95,HB1038
IL2007H1120,95,HB1120
IL2007H1122,95,HB1122
IL2007H1123,95,HB1123
IL2007H158,95,HB158
IL2007H1619,95,HB1619
IL2007H1642,95,HB1642
IL2007H165,95,HB165
IL2007H1685,95,HB1685
IL2007H1752,95,HB1752
IL2007H1753,95,HB1753
IL2007H1767,95,HB1767
IL2007H1824,95,HB1824
IL2007H195,95,HB195
IL2007H1982,95,HB1982
IL2007H22,95,HB22
IL2007H238,95,HB238
IL2007H263,95,HB263
IL2007H3418,95,HB3418
IL2007H3479,95,HB3479
IL2007H3585,95,HB3585
IL2007H3769,95,HB3769
IL2007H419,95,HB419
IL2007H426,95,HB426
IL2007H587,95,HB587
IL2007H588,95,HB588
IL2007H611,95,HB611
IL2007H612,95,HB612
IL2007H621,95,HB621
IL2007H632,95,HB632
IL2007H681,95,HB681
IL2007H687,95,HB687
IL2007H787,95,HB787
IL2007H803,95,HB803
IL2007H858,95,HB858
IL2007H901,95,HB901
IL2007HJRCA13,95,HJRCA13
IL2007S103,95,SB103
IL2007S1276,95,SB1276
IL2007S1490,95,SB1490
IL2007S173,95,SB173
IL2007S250,95,SB250
IL2007S299,95,SB299
IL2007S409,95,SB409
IL2007S410,95,SB410
IL2007S413,95,SB413
IL2007S417,95,SB417
IL2007S733,95,SB733
IL2007S78,95,SB78
IL2008H1025,95,HB1025
IL2008H1027,95,HB1027
IL2008H1038,95,HB1038
IL2008H1120,95,HB1120
IL2008H1122,95,HB1122
IL2008H1123,95,HB1123
IL2008H158,95,HB158
IL2008H1619,95,HB1619
IL2008H1642,95,HB1642
IL2008H165,95,HB165
IL2008H1685,95,HB1685
IL2008H1752,95,HB1752
IL2008H1767,95,HB1767
IL2008H1824,95,HB1824
IL2008H195,95,HB195
IL2008H1982,95,HB1982
IL2008H22,95,HB22
IL2008H238,95,HB238
IL2008H3418,95,HB3418
IL2008H3479,95,HB3479
IL2008H3585,95,HB3585
IL2008H3769,95,HB3769
IL2008H419,95,HB419
IL2008H4254,95,HB4254
IL2008H4403,95,HB4403
IL2008H4453,95,HB4453
IL2008H4752,95,HB4752
IL2008H4819,95,HB4819
IL2008H4832,95,HB4832
IL2008H5003,95,HB5003
IL2008H5004,95,HB5004
IL2008H5005,95,HB5005
IL2008H5018,95,HB5018
IL2008H5040,95,HB5040
IL2008H5111,95,HB5111
IL2008H5119,95,HB5119
IL2008H5263,95,HB5263
IL2008H5278,95,HB5278
IL2008H5299,95,HB5299
IL2008H587,95,HB587
IL2008H588,95,HB588
IL2008H611,95,HB611
IL2008H612,95,HB612
IL2008H621,95,HB621
IL2008H632,95,HB632
IL2008H681,95,HB681
IL2008H687,95,HB687
IL2008H787,95,HB787
IL2008H803,95,HB803
IL2008H858,95,HB858
IL2008H901,95,HB901
IL2008HJRCA13,95,HJRCA13
IL2008HJRCA29,95,HJRCA29
IL2008S103,95,SB103
IL2008S1276,95,SB1276
IL2008S1490,95,SB1490
IL2008S173,95,SB173
IL2008S250,95,SB250
