UUID,session,bill_number
PA2001H1056,2001-2002 Regular Session,HB 1056
PA2001H1312,2001-2002 Regular Session,HB 1312
PA2001H145,2001-2002 Regular Session,HB 145
PA2001H1451,2001-2002 Regular Session,HB 1451
PA2001H1452,2001-2002 Regular Session,HB 1452
PA2001H1476,2001-2002 Regular Session,HB 1476
PA2001H1539,2001-2002 Regular Session,HB 1539
PA2001H1578,2001-2002 Regular Session,HB 1578
PA2001H1579,2001-2002 Regular Session,HB 1579
PA2001H1602,2001-2002 Regular Session,HB 1602
PA2001H1695,2001-2002 Regular Session,HB 1695
PA2001H1715,2001-2002 Regular Session,HB 1715
PA2001H1770,2001-2002 Regular Session,HB 1770
PA2001H195,2001-2002 Regular Session,HB 195
PA2001H196,2001-2002 Regular Session,HB 196
PA2001H2014,2001-2002 Regular Session,HB 2014
PA2001H2049,2001-2002 Regular Session,HB 2049
PA2001H2134,2001-2002 Regular Session,HB 2134
PA2001H2170,2001-2002 Regular Session,HB 2170
PA2001H2175,2001-2002 Regular Session,HB 2175
PA2001H2176,2001-2002 Regular Session,HB 2176
PA2001H22,2001-2002 Regular Session,HB 22
PA2001H2226,2001-2002 Regular Session,HB 2226
PA2001H2249,2001-2002 Regular Session,HB 2249
PA2001H473,2001-2002 Regular Session,HB 473
PA2001H531,2001-2002 Regular Session,HB 531
PA2001H622,2001-2002 Regular Session,HB 622
PA2001H671,2001-2002 Regular Session,HB 671
PA2001H716,2001-2002 Regular Session,HB 716
PA2001H832,2001-2002 Regular Session,HB 832
PA2001H862,2001-2002 Regular Session,HB 862
PA2001H917,2001-2002 Regular Session,HB 917
PA2001H924,2001-2002 Regular Session,HB 924
PA2001H94,2001-2002 Regular Session,HB 94
PA2001HR14,2001-2002 Regular Session,HR 14
PA2001HR25,2001-2002 Regular Session,HR 25
PA2001HR4,2001-2002 Regular Session,HR 4
PA2001HR48,2001-2002 Regular Session,HR 48
PA2001HR57,2001-2002 Regular Session,HR 57
PA2001S1004,2001-2002 Regular Session,SB 1004
PA2001S1131,2001-2002 Regular Session,SB 1131
PA2001S1206,2001-2002 Regular Session,SB 1206
PA2001S121,2001-2002 Regular Session,SB 121
PA2001S1240,2001-2002 Regular Session,SB 1240
PA2001S1246,2001-2002 Regular Session,SB 1246
PA2001S160,2001-2002 Regular Session,SB 160
PA2001S213,2001-2002 Regular Session,SB 213
PA2001S227,2001-2002 Regular Session,SB 227
PA2001S229,2001-2002 Regular Session,SB 229
PA2001S247,2001-2002 Regular Session,SB 247
PA2001S298,2001-2002 Regular Session,SB 298
PA2001S299,2001-2002 Regular Session,SB 299
PA2001S322,2001-2002 Regular Session,SB 322
PA2001S323,2001-2002 Regular Session,SB 323
PA2001S4,2001-2002 Regular Session,SB 4
PA2001S48,2001-2002 Regular Session,SB 48
PA2001S602,2001-2002 Regular Session,SB 602
PA2001S603,2001-2002 Regular Session,SB 603
PA2001S606,2001-2002 Regular Session,SB 606
PA2001S607,2001-2002 Regular Session,SB 607
PA2001S609,2001-2002 Regular Session,SB 609
PA2001S610,2001-2002 Regular Session,SB 610
PA2001S70,2001-2002 Regular Session,SB 70
PA2001S78,2001-2002 Regular Session,SB 78
PA2001S824,2001-2002 Regular Session,SB 824
PA2001S897,2001-2002 Regular Session,SB 897
PA2001S957,2001-2002 Regular Session,SB 957
PA2001SR10,2001-2002 Regular Session,SR 10
PA2001SR15,2001-2002 Regular Session,SR 15
PA2001SR5,2001-2002 Regular Session,SR 5
PA2001SR9,2001-2002 Regular Session,SR 9
PA2002H1056,2001-2002 Regular Session,HB 1056
PA2002H1312,2001-2002 Regular Session,HB 1312
PA2002H145,2001-2002 Regular Session,HB 145
PA2002H1451,2001-2002 Regular Session,HB 1451
PA2002H1452,2001-2002 Regular Session,HB 1452
PA2002H1476,2001-2002 Regular Session,HB 1476
PA2002H1539,2001-2002 Regular Session,HB 1539
PA2002H1578,2001-2002 Regular Session,HB 1578
PA2002H1579,2001-2002 Regular Session,HB 1579
PA2002H1602,2001-2002 Regular Session,HB 1602
PA2002H1695,2001-2002 Regular Session,HB 1695
PA2002H1715,2001-2002 Regular Session,HB 1715
PA2002H1770,2001-2002 Regular Session,HB 1770
PA2002H195,2001-2002 Regular Session,HB 195
PA2002H196,2001-2002 Regular Session,HB 196
PA2002H2014,2001-2002 Regular Session,HB 2014
PA2002H2049,2001-2002 Regular Session,HB 2049
PA2002H2134,2001-2002 Regular Session,HB 2134
PA2002H2170,2001-2002 Regular Session,HB 2170
PA2002H2175,2001-2002 Regular Session,HB 2175
PA2002H2176,2001-2002 Regular Session,HB 2176
PA2002H2218,2001-2002 Regular Session,HB 2218
PA2002H2226,2001-2002 Regular Session,HB 2226
PA2002H2249,2001-2002 Regular Session,HB 2249
PA2002H2265,2001-2002 Regular Session,HB 2265
PA2002H2282,2001-2002 Regular Session,HB 2282
PA2002H2288,2001-2002 Regular Session,HB 2288
PA2002H2309,2001-2002 Regular Session,HB 2309
