session,bill_number
2001-2002 Regular Session,HB 1056
2001-2002 Regular Session,HB 1312
2001-2002 Regular Session,HB 145
2001-2002 Regular Session,HB 1451
2001-2002 Regular Session,HB 1452
2001-2002 Regular Session,HB 1476
2001-2002 Regular Session,HB 1539
2001-2002 Regular Session,HB 1578
2001-2002 Regular Session,HB 1579
2001-2002 Regular Session,HB 1602
2001-2002 Regular Session,HB 1695
2001-2002 Regular Session,HB 1715
2001-2002 Regular Session,HB 1770
2001-2002 Regular Session,HB 195
2001-2002 Regular Session,HB 196
2001-2002 Regular Session,HB 2014
2001-2002 Regular Session,HB 2049
2001-2002 Regular Session,HB 2134
2001-2002 Regular Session,HB 2170
2001-2002 Regular Session,HB 2175
2001-2002 Regular Session,HB 2176
2001-2002 Regular Session,HB 22
2001-2002 Regular Session,HB 2226
2001-2002 Regular Session,HB 2249
2001-2002 Regular Session,HB 473
2001-2002 Regular Session,HB 531
2001-2002 Regular Session,HB 622
2001-2002 Regular Session,HB 671
2001-2002 Regular Session,HB 716
2001-2002 Regular Session,HB 832
2001-2002 Regular Session,HB 862
2001-2002 Regular Session,HB 917
2001-2002 Regular Session,HB 924
2001-2002 Regular Session,HB 94
2001-2002 Regular Session,HR 14
2001-2002 Regular Session,HR 25
2001-2002 Regular Session,HR 4
2001-2002 Regular Session,HR 48
2001-2002 Regular Session,HR 57
2001-2002 Regular Session,SB 1004
2001-2002 Regular Session,SB 1131
2001-2002 Regular Session,SB 1206
2001-2002 Regular Session,SB 121
2001-2002 Regular Session,SB 1240
2001-2002 Regular Session,SB 1246
2001-2002 Regular Session,SB 160
2001-2002 Regular Session,SB 213
2001-2002 Regular Session,SB 227
2001-2002 Regular Session,SB 229
2001-2002 Regular Session,SB 247
2001-2002 Regular Session,SB 298
2001-2002 Regular Session,SB 299
2001-2002 Regular Session,SB 322
2001-2002 Regular Session,SB 323
2001-2002 Regular Session,SB 4
2001-2002 Regular Session,SB 48
2001-2002 Regular Session,SB 602
2001-2002 Regular Session,SB 603
2001-2002 Regular Session,SB 606
2001-2002 Regular Session,SB 607
2001-2002 Regular Session,SB 609
2001-2002 Regular Session,SB 610
2001-2002 Regular Session,SB 70
2001-2002 Regular Session,SB 78
2001-2002 Regular Session,SB 824
2001-2002 Regular Session,SB 897
2001-2002 Regular Session,SB 957
2001-2002 Regular Session,SR 10
2001-2002 Regular Session,SR 15
2001-2002 Regular Session,SR 5
2001-2002 Regular Session,SR 9
2001-2002 Regular Session,HB 2218
2001-2002 Regular Session,HB 2265
2001-2002 Regular Session,HB 2282
2001-2002 Regular Session,HB 2288
2001-2002 Regular Session,HB 2309
2001-2002 Regular Session,HB 2362
2001-2002 Regular Session,HB 2403
2001-2002 Regular Session,HB 2409
2001-2002 Regular Session,HB 2439
2001-2002 Regular Session,HB 2453
2001-2002 Regular Session,HB 2597
2001-2002 Regular Session,HB 2687
2001-2002 Regular Session,HR 251
2001-2002 Regular Session,HR 624
2001-2002 Regular Session,SB 1390
2001-2002 Regular Session,SB 1430
2001-2002 Regular Session,SR 237
2003-2004 Regular Session,HB 1025
2003-2004 Regular Session,HB 1109
2003-2004 Regular Session,HB 1112
2003-2004 Regular Session,HB 1147
2003-2004 Regular Session,HB 115
2003-2004 Regular Session,HB 1169
2003-2004 Regular Session,HB 1209
2003-2004 Regular Session,HB 1210
2003-2004 Regular Session,HB 1220
2003-2004 Regular Session,HB 1412
2003-2004 Regular Session,HB 1664
2003-2004 Regular Session,HB 1683
2003-2004 Regular Session,HB 1896
2003-2004 Regular Session,HB 2018
2003-2004 Regular Session,HB 2084
2003-2004 Regular Session,HB 2098
2003-2004 Regular Session,HB 2169
2003-2004 Regular Session,HB 507
2003-2004 Regular Session,HB 608
2003-2004 Regular Session,HB 635
2003-2004 Regular Session,HB 719
2003-2004 Regular Session,HB 763
2003-2004 Regular Session,HB 771
2003-2004 Regular Session,HB 944
2003-2004 Regular Session,HR 339
2003-2004 Regular Session,HR 54
2003-2004 Regular Session,SB 185
2003-2004 Regular Session,SB 228
2003-2004 Regular Session,SB 308
2003-2004 Regular Session,SB 309
2003-2004 Regular Session,SB 464
2003-2004 Regular Session,SB 562
2003-2004 Regular Session,SB 600
2003-2004 Regular Session,SB 682
2003-2004 Regular Session,SB 756
2003-2004 Regular Session,SB 78
2003-2004 Regular Session,SB 878
2003-2004 Regular Session,SB 887
2003-2004 Regular Session,SB 902
2003-2004 Regular Session,SB 937
2003-2004 Regular Session,SR 170
