UUID,session,bill_number
UT2001H143,2001,HB0143
UT2001H175,2001,HB0175
UT2001H231,2001,HB0231
UT2001H29,2001,HB0029
UT2001H296,2001,HB0296
UT2001H314,2001,HB0314
UT2001H369,2001,HB0369
UT2001HJR6,2001,HJR006
UT2001S273,2001,SB0273
UT2001S55,2001,SB0055
UT2002H115,2002,HB0115
UT2002H175,2002,HB0175
UT2002H258,2002,HB0258
UT2002H284,2002,HB0284
UT2002H306,2002,HB0306
UT2002H32,2002,HB0032
UT2002H33,2002,HB0033
UT2002H351,2002,HB0351
UT2002H71,2002,HB0071
UT2002S35,2002,SB0035
UT2002S36,2002,SB0036
UT2003H102,2003,HB0102
UT2003H103,2003,HB0103
UT2003H150,2003,HB0150
UT2003H155,2003,HB0155
UT2003H206,2003,HB0206
UT2003H255,2003,HB0255
UT2003H329,2003,HB0329
UT2003H342,2003,HB0342
UT2003H352,2003,HB0352
UT2003H61,2003,HB0061
UT2003H99,2003,HB0099
UT2003S55,2003,SB0055
UT2003S68,2003,SB0068
UT2004H301,2004,HB0301
UT2004H4,2004,HB0004
UT2004H9,2004,HB0009
UT2004S115,2004,SB0115
UT2004S251,2004,SB0251
UT2004S97,2004,SB0097
UT2005H211,2005,HB0211
UT2005H267,2005,HB0267
UT2005H336,2005,HB0336
UT2005S200,2005,SB0200
UT2005S67,2005,SB0067
UT2006H13,2006,HB0013
UT2006H15,2006,HB0015
UT2006H231,2006,HB0231
UT2006H347,2006,HB0347
UT2006H348,2006,HB0348
UT2006H67,2006,HB0067
UT2006S10,2006,SB0010
UT2006S11,2006,SB0011
UT2006S110,2006,SB0110
UT2006S181,2006,SB0181
UT2006S200,2006,SB0200
UT2006S259,2006,SB0259
UT2006S47,2006,SB0047
UT2006S60,2006,SB0060
UT2007H14,2007,HB0014
UT2007H223,2007,HB0223
UT2007H287,2007,HB0287
UT2007H346,2007,HB0346
UT2007H368,2007,HB0368
UT2007H392,2007,HB0392
UT2007H454,2007,HB0454
UT2007H61,2007,HB0061
UT2007H71,2007,HB0071
UT2007S211,2007,SB0211
UT2007S225,2007,SB0225
UT2007S241,2007,SB0241
UT2008H142,2008,HB0142
UT2008H25,2008,HB0025
UT2008H283,2008,HB0283
UT2008H309,2008,HB0309
UT2008H310,2008,HB0310
UT2008H317,2008,HB0317
UT2008H338,2008,HB0338
UT2008H43,2008,HB0043
UT2008H44,2008,HB0044
UT2008H446,2008,HB0446
UT2008S109,2008,SB0109
UT2008S12,2008,SB0012
UT2008S123,2008,SB0123
UT2008S125,2008,SB0125
UT2008S126,2008,SB0126
UT2008S13,2008,SB0013
UT2008S147,2008,SB0147
UT2008S160,2008,SB0160
UT2008S167,2008,SB0167
UT2008S193,2008,SB0193
UT2008S210,2008,SB0210
UT2008S23,2008,SB0023
UT2009H126,2009,HB0126
UT2009H196,2009,HB0196
UT2009H390,2009,HB0390
UT2009H406,2009,HB0406
UT2009H49,2009,HB0049
UT2009HJR8,2009,HJR008
UT2009S164,2009,SB0164
UT2009S24,2009,SB0024
UT2009S25,2009,SB0025
UT2009S27,2009,SB0027
UT2010H244,2010,HB0244
UT2010H245,2010,HB0245
UT2010H254,2010,HB0254
UT2010H258,2010,HB0258
UT2010H297,2010,HB0297
UT2010H358,2010,HB0358
UT2010H368,2010,HB0368
UT2010H369,2010,HB0369
UT2010H79,2010,HB0079
UT2010H95,2010,HB0095
UT2010S119,2010,SB0119
UT2010S18,2010,SB0018
UT2010S195,2010,SB0195
UT2010S204,2010,SB0204
UT2010S216,2010,SB0216
UT2010S53,2010,SB0053
UT2011H130,2011,HB0130
UT2011H143,2011,HB0143
UT2011H255,2011,HB0255
UT2011H279,2011,HB0279
UT2011H31,2011,HB0031
UT2011H310,2011,HB0310
UT2011H33,2011,HB0033
UT2011H362,2011,HB0362
UT2011H366,2011,HB0366
UT2011H408,2011,HB0408
UT2011H410,2011,HB0410
UT2011H472,2011,HB0472
UT2011HJR18,2011,HJR018
UT2011S14,2011,SB0014
UT2011S162,2011,SB0162
UT2011S165,2011,SB0165
UT2011S176,2011,SB0176
UT2011S18,2011,SB0018
UT2011S224,2011,SB0224
UT2011S252,2011,SB0252
UT2011S266,2011,SB0266
UT2011S281,2011,SB0281
UT2011S3004,2011,SB3004
UT2012H105,2012,HB0105
UT2012H119,2012,HB0119
UT2012H145,2012,HB0145
UT2012H172,2012,HB0172
UT2012H20,2012,HB0020
